Server,Time taken for tests,Requests per second,Time per request,Time per request (concurrent),Transfer rate
node.js,3.9137999999999997,266.56100000000004,195.68449999999999,3.9137999999999997,84.082
go,3.7619999999999996,271.687,188.0959,3.7619999999999996,108.251
python,3.6022000000000007,281.66999999999996,180.10920000000002,3.6022000000000007,73.717
nginx,3.4207,294.781,171.0369,3.4207,133.57399999999998
apache,3.5817,282.145,179.0888,3.5817,135.835
rust,3.3414,301.346,167.0645,3.3414,146.257
